Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
ARAF,0.472217155,-0.019368806,-0.403174617,0.06977661,0.373820069,-0.012952338,-0.068614287,-0.144364315,-0.099448013
ARCN1,-0.2069448,-0.046693818,-0.030503538,0.106467975,0.103055137,0.120549305,-0.406702436,-0.253595198,0.094354636
ARFRP1,0.348254737,-0.482559057,-0.195537268,-0.341593593,-0.470922126,-0.246390737,-0.011778972,0.12118427,-0.019951933
ARID1A,-0.496794255,0.190458985,-1.387401577,0.068115434,-0.579563899,0.221035122,-0.549960413,-0.503695457,-0.368636488
ARID1B,-0.263282111,-0.224402064,-1.155533126,0.021789749,0.283035902,0.095390569,-0.430646298,-0.764079442,-0.537515588
ARID2,0.658734303,0.024715158,0.465891989,0.979460165,0.216902412,0.79625783,0.22980095,0.127280392,-0.279010223
ARID3B,-0.204749871,-0.007087158,0.115524478,-0.292487798,-0.334787933,-0.330607697,0.123314028,0.172300741,0.103511847
ARID4B,-0.19367868,0.17304889,-0.710801599,0.660337497,0.590609814,0.276084964,0.07184484,0.221783769,0.454564513
ARID5A,-0.188869096,0.017690461,0.20104616,0.076176531,-0.166654986,-0.066942719,0.090958803,0.11277639,0.057598498
ARID5B,0.612598953,0.159132743,-0.015393201,-0.038483662,-0.23416322,0.265096078,0.097828516,-0.309245882,-0.19789091
ARL6IP4,0.221643102,-0.060782667,-0.86881556,0.002353026,0.06201998,0.314884762,-0.443713046,-0.314738251,-0.500075312
ARRB1,0.835158216,0.267112217,-0.333841565,0.330381636,-0.119174946,0.124230392,-0.048041294,-0.328451374,-0.228791336
ART1,-0.155065097,-0.053561884,-0.550809074,0.128458595,-0.178302931,0.273694632,-0.109064333,-0.270973793,-0.013971543
ART3,-0.438323397,-0.197927397,-0.499888956,0.317752228,0.05457458,0.390656442,-0.066077277,-0.204272403,-0.12679709
ART4,-0.326439569,0.245721456,-0.061458085,0.292984474,-0.197378519,0.028788471,-0.307502497,-0.017551283,0.03397305
ART5,-0.107011642,-0.084900335,-0.795874625,0.321875117,-0.080030928,-0.065295791,-0.191782189,-0.709650835,-0.815833469
ASF1A,1.170266817,0.247980619,0.050254273,-0.293047615,-0.169292816,0.339799379,-0.152226567,-0.110409713,0.119811846
ASF1B,0.765275535,-0.062342903,-0.466102368,0.05523137,-0.068097284,-0.070869678,-0.245878851,-0.313395968,-0.461992659
ASH1L,-0.196442605,0.342376359,-0.161946494,0.466070515,0.65462554,0.374619226,0.101222781,-0.391717265,-0.353186787
ASH2L,-0.004700135,0.036915496,-0.409462468,0.226934323,0.380968256,0.349936052,-0.315680268,0.083896977,-0.336153444
ASXL1,0.061975086,0.173111167,-0.251143373,-0.125275514,-0.47829965,-0.029529302,-0.026741495,-0.16950797,0.143618288
ASXL3,0.184121796,-0.133902133,0.015698476,0.097946817,0.244337957,0.142453457,-0.137574021,-0.10561305,-0.183575898
ATAD2B,0.007738903,0.066324401,-0.328684212,-0.025179579,-0.352456123,-0.256344667,-0.122943585,-0.24368097,-0.185087196
ATE1,-0.135903703,0.193581987,0.8094143,0.188608672,1.154758699,-0.116377958,-0.374349894,0.468067881,-0.034983325
ATF7IP,0.049731569,-0.004592977,-0.09143647,-0.032241614,0.056645771,0.145611403,-0.001004929,0.001304629,0.032276556
ATF7IP2,0.56313881,-0.029859443,-0.415765929,-0.274416651,-0.253885781,-0.115949185,-0.111853189,-0.29127472,-0.144009445
ATM,0.159958769,0.1557456,0.161741623,-0.080808632,0.264208339,0.008633851,-0.500624058,0.156468482,0.264278349
ATP1A1,0.474255068,-0.271552686,-0.805461259,0.826322754,1.065101353,1.808654011,-0.303529899,0.194487581,-0.113069508
ATP2C1,0.318039071,-0.562943333,0.056462314,-0.84054235,-1.266487479,-0.41477616,-0.39234568,0.181246913,-0.312423585
ATP4A,0.061428618,0.342715914,-0.168495572,0.039530669,-0.129205007,0.338144711,0.265735599,-0.002293513,0.151086959
ATP4B,-0.083435476,-0.013028043,0.188035602,0.014298704,0.048983392,0.017097686,-0.013676436,-0.150258878,0.107823508
ATP5D,-0.416883615,0.024603952,-0.066218164,0.428323359,0.691837348,-0.003302837,0.343637695,-0.147903312,0.455671254
ATR,-0.268283149,0.061430221,-0.380029791,1.429392515,1.086103702,0.329138393,0.015338376,-0.85633739,-0.810969647
ATRIP,-0.118469379,-0.019092232,0.17406466,0.058941641,0.004338338,0.2358389,0.223215374,0.028092937,0.350750519
ATXN3,-0.219073645,0.190265276,0.327548203,0.013680808,-0.202001663,0.076287715,0.101085884,0.26850344,0.179872348
ATXN7,0.13670815,0.127612331,-0.157809846,-0.060448831,-0.240120416,-0.061179703,0.024511347,-0.255957575,-0.250055516
AURKA,0.055758266,-0.017925472,-0.528990256,0.444613148,0.059587516,0.098609161,-0.218928121,-0.067792945,-0.253996999
AURKB,-0.156547719,-0.072013879,-0.132238874,-0.044779193,0.092415454,0.593388801,0.224812211,-0.213463164,-0.171509794
AURKC,-0.46157146,-0.303929733,0.555452373,-0.184073047,-0.310325466,0.176449737,-0.166175246,-0.214729802,0.409327747
AVP,-0.274472706,-0.003943408,-0.455454594,0.420827931,0.320586755,0.495833065,0.137852666,-0.168575224,-0.19422426
AVPR1A,0.131435231,0.143374681,-0.213497211,0.144703239,0.099664326,0.171292477,-0.066789445,-0.049543049,-0.085095253
AVPR1B,-0.137941008,0.090340168,0.035333694,0.251145128,0.425887331,0.157994199,0.078984482,0.213073303,0.07492984
AVPR2,0.122128692,-0.069957009,-0.142678952,0.02769863,-0.145880263,-0.007139399,0.116452524,-0.071052854,0.222866499
AXL,0.921809038,-0.038369861,0.230630928,0.108240896,-0.329009105,0.184408232,-0.019713606,-0.356652439,-0.124478469
B4GALT3,0.440798338,-0.065728785,-0.144013929,0.171847222,0.4030398,0.069137116,-0.531501896,-0.643482395,-0.644170995
BAALC,-0.008835685,-0.170909956,-0.314566084,0.328472976,0.069908771,0.209242916,-0.116845204,-0.33735968,-0.44336921
BAD,-0.425826757,0.073463824,-0.530727774,0.310401324,0.077289615,0.390466478,0.005727874,-0.297245713,-0.446998045
BAHD1,-0.289922863,0.067621157,0.121486565,-0.159691632,0.262925613,-0.369013619,0.10174173,-0.180423937,-0.043824835
BANF2,-0.10571002,0.124866618,0.437759542,-0.042184949,-0.025375583,-0.031452564,0.039070897,0.087559235,0.12646384
BAP1,-0.812240068,0.148868923,0.307550653,0.576621688,0.151425751,-0.219061562,-0.319607064,0.634546784,-0.044777678
BARD1,-0.097087787,-0.076208678,-0.053210708,0.121231999,0.119169352,0.329941161,0.105150758,-0.545878709,-0.741290106
BAZ1A,0.260402804,-0.063406719,0.340796642,0.430448046,0.483620265,0.197242231,0.186431633,-0.028080353,0.02240769
BAZ1B,-0.011775326,-0.342053574,-1.099386511,-0.02930163,-0.567061521,0.147417392,-0.616345659,-0.384430982,-0.442576906
BAZ2A,0.056354814,-0.069546043,-0.929014324,-0.077015989,0.060841896,-0.306939424,-0.03280425,-0.03806668,-0.860188741
BAZ2B,-0.694050516,-0.232292401,-0.270130121,0.40686709,0.122291631,0.135419946,-0.274412226,-0.286843162,-0.414153238
BCHE,0.062441374,0.199966601,0.375313253,-0.02707919,-0.389881008,-0.170172105,-0.169049223,0.129411869,0.129602613
BCKDK,0.094767813,0.029763431,-0.277878595,0.042945035,-0.12533581,0.073869747,-0.074053223,-0.102755385,-0.001311052
BCL2,-0.217193004,0.555593697,0.353153108,-0.631245838,-0.371752679,-0.838456451,-0.280318954,-0.773693661,-0.695401898
BCL2A1,-2.582183513,-0.123528828,0.000385446,0.528989404,-0.345495727,0.237428201,-0.203575254,0.120123036,0.126468865
BCL2L1,-0.748486842,-0.040505676,-0.436526729,0.103359238,0.091277719,0.100344111,-0.06840009,-0.269468832,-0.362525298
BCL2L2,-0.374657985,0.049237336,0.192282015,-0.197322735,-0.430720088,-0.159705825,-0.102845749,-0.057933993,-0.130215444
BCL6,0.203842922,0.093371094,0.686590647,-0.190561023,-0.460850323,-0.149743231,-0.571435505,-0.431644658,-0.227755195
BCOR,-0.558790227,0.068928481,0.332166749,-0.153694307,0.954720498,-0.251567018,0.083460504,-0.215433102,0.218916764
BCORL1,0.149961356,-0.244370182,-0.429572737,0.134018732,-0.420884207,-0.230786878,0.10852897,-0.130318843,-0.071316158
BCR,-0.031837118,-0.045641076,-0.382351546,0.029280725,-0.255602909,-0.060845692,-0.167998932,-0.293058583,-0.219333366
BDKRB2,-0.033875729,-0.002625081,0.045518973,0.187616657,-0.091803032,0.021948902,-0.020318843,0.098262188,0.231333644
BDP1,-0.28160655,-0.255115185,-0.038233093,-0.118055874,0.015628029,0.156424465,-0.273619819,-0.213844568,0.238771435
BEGAIN,-0.173722363,0.081897754,-0.44505288,-0.202915463,-0.30248579,-0.086405333,-0.246673275,-0.253467669,-0.109184514
BHLHE23,-0.54082891,0.019169455,-0.06279065,0.229885554,-0.033373547,-0.060573703,-0.039694886,0.110362547,-0.228775209
BLK,-0.230050798,0.190876299,-0.063386711,0.082148978,-0.174925709,0.012637181,-0.317137981,-0.101846344,-0.006743101
BLM,-0.401153917,-0.087341805,-0.149791606,0.49800774,-0.216073365,0.288907093,0.496074471,0.019016826,-0.372511803
BMI1,-0.79670145,-0.367627105,-0.645746739,-0.422817776,-0.935574387,-0.555745763,-0.621876853,-0.406189574,0.14587769
BMP2K,-0.644910959,0.046561542,-0.015918394,0.099137478,-0.249085067,0.205304479,0.123865772,-0.053282684,0.313854491
BMPR1A,-0.280795801,0.074340194,0.460041156,-0.193487157,-0.105371393,-0.166465087,0.063467806,0.313111469,0.362513242
BMPR1B,0.145402681,0.066281212,0.144428976,0.321256827,0.227824149,0.497148966,0.026118496,-0.032320207,0.018927925
BMPR2,-0.07679117,0.089780228,0.666381841,-0.250062528,-0.007986756,-0.159579401,0.276669672,0.27152818,0.34809993
BMX,0.448787605,0.06770173,0.083440979,0.125359043,-0.160853548,0.157426285,0.0847104,-0.23569308,0.154676587
BPTF,0.406254671,0.190000685,-0.118567892,0.651331088,0.255878916,0.214964638,-0.040073453,-0.46979658,0.171759183
BRAF,0.127518577,0.008819605,-0.161560028,-0.029024788,-0.056042489,-0.10364467,0.111155975,-0.063431191,-0.029788839
BRCA1,-0.113971582,0.206646994,0.390998581,0.487475379,-0.27646112,0.259459451,1.082303883,0.076355657,0.814401085
BRCA2,0.35190003,0.110381944,-0.397817421,0.288834304,0.272285289,0.444748369,-0.174721269,-0.630725709,-0.192873945
BRCC3,-0.0382785,-0.040812448,-0.398400989,-0.04173625,0.059774176,0.005313405,-1.338180452,-0.578711169,-0.465679981
BRD1,-1.35874211,-0.122536197,1.713044939,0.869044743,1.969838478,1.454080719,0.007139897,-0.014537034,1.174233742
BRD2,-0.353967888,0.066103742,-0.924463616,-0.231987152,-0.322215409,-0.143011824,-0.4965502,-0.01791925,-0.191217959
BRD3,-0.476885171,-0.1768846,-1.322545062,-0.024728609,0.503244152,-0.022024635,0.104131377,0.277374941,0.585286389
BRD4,0.003184882,-0.101949623,-1.044608719,0.196554387,0.180630064,0.330887208,-0.326680069,-0.408687772,-0.230923084
